Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age_Group
0,Travel_Rarely,Sales,2,Master,Marketing,Female,High,5,Manager,Low,Single,18947,0,22,2,Good,2,43-47
0,Travel_Rarely,Research & Development,2,Bachelor,Medical,Male,High,1,Laboratory Technician,Very High,Single,2496,0,7,3,Better,1,28-32
0,Travel_Rarely,Research & Development,10,Master,Other,Male,High,2,Healthcare Representative,Very High,Married,6465,1,9,5,Best,4,43-47
0,Travel_Rarely,Research & Development,9,College,Medical,Male,Medium,1,Laboratory Technician,High,Single,2206,0,10,5,Better,10,28-32
1,Travel_Rarely,Sales,5,Bachelor,Technical Degree,Male,High,2,Sales Representative,Very High,Married,2086,0,19,6,Best,1,38-42
1,Travel_Rarely,Research & Development,1,Bachelor,Medical,Male,High,1,Research Scientist,Very High,Married,2293,1,6,2,Good,2,23-27
0,Travel_Rarely,Research & Development,2,College,Medical,Female,Very High,1,Research Scientist,High,Divorced,2645,0,6,3,Good,5,38-42
1,Travel_Rarely,Sales,3,College,Marketing,Male,Medium,1,Sales Representative,High,Married,2683,1,3,2,Better,3,48-52
0,Travel_Rarely,Sales,2,Bachelor,Marketing,Female,High,1,Sales Representative,Very High,Married,2014,0,2,3,Better,2,33-37
0,Travel_Rarely,Research & Development,5,Master,Life Sciences,Female,Medium,1,Research Scientist,Low,Married,3419,1,6,3,Best,1,33-37
0,Travel_Frequently,Sales,1,Bachelor,Life Sciences,Female,Very High,2,Sales Executive,Low,Married,5376,0,10,3,Better,5,28-32
0,Travel_Rarely,Research & Development,4,College,Other,Male,High,1,Laboratory Technician,Very High,Divorced,1951,0,1,3,Better,1,33-37
0,Travel_Rarely,Research & Development,2,Master,Life Sciences,Female,High,1,Laboratory Technician,Low,Divorced,2341,0,1,6,Better,1,23-27
1,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,Male,Low,1,Laboratory Technician,High,Single,2293,0,1,2,Good,1,23-27
0,Travel_Frequently,Sales,8,Bachelor,Life Sciences,Male,High,3,Sales Executive,High,Single,8726,0,9,0,Better,9,23-27
0,Travel_Frequently,Research & Development,1,College,Medical,Female,High,2,Laboratory Technician,Very High,Single,4011,0,12,2,Better,12,28-32
1,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,Female,High,5,Research Director,High,Married,19545,0,23,0,Better,22,38-42
0,Non-Travel,Sales,23,Master,Marketing,Male,High,2,Sales Executive,High,Single,4568,0,10,2,Better,9,33-37
0,Travel_Rarely,Research & Development,19,College,Life Sciences,Male,High,1,Research Scientist,Medium,Married,3022,0,8,1,Better,1,33-37
0,Travel_Frequently,Sales,5,Master,Marketing,Male,High,2,Sales Executive,Very High,Single,5772,1,14,4,Better,9,43-47
0,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Male,Very High,1,Laboratory Technician,Very High,Married,2269,0,1,2,Better,1,33-37
1,Travel_Rarely,Research & Development,1,College,Life Sciences,Male,Medium,3,Laboratory Technician,High,Single,5381,1,23,2,Better,1,43-47
1,Travel_Rarely,Research & Development,5,Master,Technical Degree,Male,High,1,Laboratory Technician,High,Single,3441,1,2,3,Good,2,23-27
0,Travel_Rarely,Sales,1,Doctor,Marketing,Female,High,2,Sales Executive,Low,Divorced,5454,1,9,2,Good,4,43-47
0,Non-Travel,Research & Development,11,College,Medical,Male,Medium,3,Healthcare Representative,Low,Married,9884,1,10,3,Better,4,33-37
0,Travel_Rarely,Sales,23,Bachelor,Marketing,Female,Medium,2,Sales Executive,Very High,Married,4157,1,5,2,Good,2,23-27
0,Travel_Frequently,Research & Development,1,College,Life Sciences,Female,High,3,Research Director,Very High,Single,13458,1,15,1,Better,15,28-32
0,Travel_Frequently,Sales,18,Doctor,Life Sciences,Male,High,3,Sales Executive,Low,Married,9069,0,9,3,Good,9,33-37
0,Travel_Rarely,Research & Development,23,Master,Medical,Female,High,1,Laboratory Technician,Low,Married,4014,1,4,3,Better,2,33-37
0,Travel_Rarely,Research & Development,7,Master,Life Sciences,Male,High,2,Laboratory Technician,Very High,Divorced,5915,0,10,3,Good,7,28-32
0,Travel_Rarely,Research & Development,1,Master,Life Sciences,Male,Medium,2,Manufacturing Director,High,Divorced,5993,0,7,2,Best,7,33-37
0,Travel_Rarely,Research & Development,1,Bachelor,Medical,Male,High,2,Manufacturing Director,Very High,Married,6162,1,9,3,Better,9,28-32
0,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,Female,High,2,Laboratory Technician,Very High,Single,2406,0,10,2,Better,10,33-37
0,Travel_Rarely,Research & Development,7,College,Medical,Female,Medium,5,Research Director,High,Divorced,18740,1,29,2,Good,27,48-52
0,Travel_Rarely,Sales,25,Bachelor,Life Sciences,Female,High,3,Sales Executive,Low,Single,7637,0,28,3,Good,21,58-62
0,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,Female,High,3,Healthcare Representative,High,Divorced,10096,0,17,2,Better,17,33-37
0,Travel_Rarely,Research & Development,8,Bachelor,Medical,Female,High,4,Manager,High,Divorced,14756,1,21,2,Better,5,53-57
0,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,Male,Medium,2,Manufacturing Director,Medium,Single,6499,0,6,3,Better,6,33-37
0,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Male,High,3,Research Scientist,Low,Divorced,9724,0,25,2,Better,1,43-47
0,Travel_Frequently,Research & Development,1,Bachelor,Medical,Male,High,1,Research Scientist,Low,Married,2194,0,5,2,Good,3,33-37
1,Travel_Rarely,Research & Development,9,Bachelor,Medical,Male,Medium,1,Research Scientist,High,Married,3388,1,2,0,Good,1,33-37
0,Travel_Frequently,Sales,1,Below College,Life Sciences,Female,Medium,2,Sales Executive,High,Single,5473,0,20,2,Good,4,58-62
0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,High,1,Research Scientist,Medium,Married,2703,0,6,3,Better,5,28-32
0,Travel_Rarely,Research & Development,1,Master,Medical,Male,High,1,Research Scientist,Medium,Single,2501,0,1,4,Better,1,28-32
0,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,High,2,Research Scientist,Medium,Married,6220,0,10,3,Better,10,28-32
0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Female,Very High,1,Laboratory Technician,Very High,Married,3038,0,5,3,Better,1,33-37
0,Travel_Rarely,Research & Development,8,Master,Life Sciences,Female,High,2,Manufacturing Director,Very High,Single,4424,0,11,2,Better,11,28-32
0,Travel_Rarely,Sales,1,Master,Marketing,Male,Medium,2,Sales Executive,Low,Single,4312,0,16,2,Better,15,33-37
0,Travel_Rarely,Research & Development,6,Master,Other,Male,High,3,Research Director,Low,Married,13245,1,17,3,Best,0,43-47
0,Travel_Rarely,Research & Development,7,Master,Medical,Male,High,3,Research Director,High,Single,13664,0,16,3,Best,5,33-37
0,Travel_Rarely,Human Resources,5,College,Medical,Male,High,2,Human Resources,Medium,Divorced,5021,1,16,2,Better,4,43-47
0,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Male,Medium,2,Laboratory Technician,Very High,Married,5126,1,10,1,Good,10,28-32
0,Travel_Rarely,Research & Development,1,Bachelor,Medical,Male,Medium,1,Research Scientist,High,Single,2859,0,6,3,Better,6,33-37
0,Travel_Rarely,Sales,1,College,Life Sciences,Male,High,3,Sales Executive,Very High,Married,10239,0,24,4,Better,1,53-57
0,Non-Travel,Research & Development,6,Bachelor,Medical,Female,Low,2,Research Scientist,Very High,Divorced,5329,1,17,3,Better,13,33-37
0,Travel_Rarely,Research & Development,1,College,Medical,Male,High,2,Manufacturing Director,Medium,Married,4325,0,5,2,Better,5,33-37
0,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,Male,Low,3,Manufacturing Director,Very High,Single,7260,0,37,3,Good,6,53-57
0,Travel_Rarely,Sales,2,Below College,Technical Degree,Male,High,1,Sales Representative,Low,Divorced,2322,0,3,3,Better,0,18-22
0,Travel_Rarely,Research & Development,9,Master,Life Sciences,Male,High,1,Laboratory Technician,Very High,Married,2075,0,10,4,Better,4,48-52
0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,Medium,2,Healthcare Representative,Very High,Married,4152,0,11,3,Better,11,28-32
1,Travel_Rarely,Sales,9,College,Medical,Male,Medium,3,Sales Executive,Very High,Single,9619,0,9,3,Better,9,43-47
0,Travel_Frequently,Research & Development,1,Master,Life Sciences,Male,Medium,4,Healthcare Representative,Medium,Married,13503,0,22,3,Good,22,38-42
0,Travel_Rarely,Sales,21,Master,Marketing,Male,High,2,Sales Executive,Very High,Single,5441,1,11,2,Bad,10,48-52
0,Travel_Rarely,Sales,4,College,Medical,Female,Medium,2,Sales Executive,Medium,Divorced,5209,1,11,4,Good,11,28-32
0,Travel_Frequently,Research & Development,1,Bachelor,Medical,Male,Medium,3,Healthcare Representative,Low,Married,10673,1,21,5,Good,10,43-47
0,Travel_Rarely,Sales,6,Master,Medical,Male,High,2,Sales Executive,High,Single,5010,0,12,0,Better,11,28-32
0,Travel_Rarely,Research & Development,2,Master,Technical Degree,Female,High,3,Research Director,High,Married,13549,0,16,5,Bad,4,53-57
0,Travel_Rarely,Sales,3,College,Other,Female,High,2,Sales Executive,High,Married,4999,0,4,2,Good,3,23-27
0,Non-Travel,Sales,4,Bachelor,Medical,Male,High,2,Sales Executive,High,Married,4221,0,5,3,Best,5,23-27
0,Travel_Rarely,Sales,10,Master,Medical,Male,High,4,Sales Executive,High,Single,13872,0,38,1,Good,37,53-57
0,Non-Travel,Research & Development,23,Bachelor,Medical,Male,High,2,Laboratory Technician,Medium,Married,2042,0,17,3,Best,3,43-47
1,Travel_Rarely,Human Resources,6,Master,Human Resources,Male,High,1,Human Resources,Low,Divorced,2073,1,7,3,Better,3,33-37
0,Travel_Rarely,Research & Development,1,Below College,Life Sciences,Male,High,1,Research Scientist,Low,Single,2956,0,1,2,Better,1,28-32
1,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,Female,Medium,1,Laboratory Technician,Very High,Single,2926,1,1,5,Better,1,18-22
0,Travel_Rarely,Research & Development,6,Master,Other,Female,High,2,Research Scientist,High,Single,4809,0,16,3,Better,16,33-37
0,Non-Travel,Research & Development,2,College,Life Sciences,Male,Medium,2,Healthcare Representative,Very High,Divorced,5163,0,17,2,Best,1,33-37
0,Non-Travel,Human Resources,2,Master,Human Resources,Female,Medium,5,Manager,Very High,Married,18844,0,30,3,Better,3,58-62
0,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,Female,High,5,Research Director,Medium,Married,18172,1,28,1,Good,8,48-52
1,Travel_Rarely,Sales,5,Bachelor,Marketing,Male,Medium,2,Sales Executive,High,Single,5744,1,6,1,Better,6,23-27
0,Travel_Rarely,Research & Development,7,Below College,Medical,Male,Medium,1,Research Scientist,Very High,Married,2889,0,2,2,Better,2,23-27
0,Travel_Rarely,Research & Development,15,Bachelor,Medical,Female,High,1,Laboratory Technician,Very High,Single,2871,0,1,5,Better,0,18-22
0,Travel_Frequently,Research & Development,1,Master,Medical,Female,Medium,3,Healthcare Representative,Low,Single,7484,0,23,1,Good,13,48-52
1,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,Male,Low,2,Laboratory Technician,High,Single,6074,1,9,3,Better,9,33-37
0,Non-Travel,Human Resources,26,Bachelor,Human Resources,Female,Very High,4,Manager,Very High,Single,17328,1,23,3,Better,5,53-57
0,Travel_Rarely,Research & Development,18,Below College,Life Sciences,Male,High,1,Laboratory Technician,High,Married,2774,0,6,2,Better,5,23-27
0,Travel_Rarely,Research & Development,6,Master,Life Sciences,Female,Medium,2,Research Scientist,Medium,Divorced,4505,0,12,3,Better,1,33-37
0,Travel_Rarely,Sales,3,Bachelor,Life Sciences,Male,High,3,Sales Executive,Very High,Single,7428,0,12,3,Better,5,33-37
0,Travel_Rarely,Research & Development,5,Bachelor,Medical,Female,Medium,3,Manager,Low,Single,11631,0,14,6,Better,11,33-37
0,Travel_Frequently,Sales,11,College,Technical Degree,Female,High,3,Sales Executive,Very High,Married,9738,0,10,6,Better,9,33-37
0,Travel_Rarely,Research & Development,3,College,Life Sciences,Female,High,1,Laboratory Technician,Very High,Divorced,2835,0,7,2,Better,1,33-37
0,Travel_Frequently,Sales,26,College,Life Sciences,Male,High,4,Manager,Very High,Married,16959,1,25,3,Best,25,38-42
0,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,Male,Low,1,Research Scientist,High,Divorced,2613,0,10,2,Good,10,28-32
0,Non-Travel,Sales,22,College,Marketing,Male,High,2,Sales Executive,Medium,Married,6146,0,8,2,Best,7,28-32
1,Travel_Rarely,Research & Development,14,Master,Life Sciences,Female,High,1,Research Scientist,Medium,Married,4963,1,7,2,Better,5,53-57
0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,Male,High,5,Research Director,High,Single,19537,0,23,5,Better,20,48-52
1,Travel_Rarely,Sales,6,Master,Life Sciences,Male,Low,2,Sales Executive,High,Married,6172,1,12,3,Good,7,28-32
0,Travel_Rarely,Research & Development,6,Bachelor,Other,Female,Medium,1,Research Scientist,Medium,Married,2368,0,5,3,Good,5,23-27
1,Travel_Rarely,Research & Development,23,Master,Medical,Female,High,3,Healthcare Representative,Very High,Married,10312,0,40,3,Good,40,53-57
1,Travel_Rarely,Sales,22,Below College,Marketing,Male,High,1,Sales Representative,High,Single,1675,1,0,2,Good,0,18-22
0,Travel_Rarely,Research & Development,2,Below College,Technical Degree,Male,High,1,Laboratory Technician,Very High,Married,2523,0,3,2,Better,2,18-22
0,Travel_Rarely,Research & Development,20,Master,Medical,Female,High,2,Manufacturing Director,Low,Married,6567,0,16,2,Good,15,48-52
0,Travel_Frequently,Research & Development,28,Bachelor,Medical,Female,Very High,1,Research Scientist,High,Single,4739,0,18,2,Better,3,38-42
0,Travel_Frequently,Sales,12,Bachelor,Marketing,Female,High,3,Sales Executive,Very High,Single,9208,0,16,3,Better,2,48-52
1,Travel_Rarely,Sales,20,Bachelor,Life Sciences,Female,Low,2,Sales Executive,High,Married,4559,1,4,2,Better,2,28-32
0,Travel_Rarely,Sales,9,Below College,Life Sciences,Male,High,3,Sales Executive,High,Divorced,8189,1,12,2,Better,9,38-42
0,Travel_Rarely,Human Resources,25,Below College,Life Sciences,Female,High,1,Human Resources,High,Married,2942,0,8,3,Better,8,23-27
0,Travel_Rarely,Research & Development,6,College,Medical,Male,High,2,Manufacturing Director,Medium,Divorced,4941,0,7,0,Better,3,33-37
1,Travel_Frequently,Research & Development,8,Master,Life Sciences,Male,Low,3,Manufacturing Director,Very High,Single,10650,0,18,2,Better,4,48-52
0,Travel_Rarely,Sales,4,Master,Life Sciences,Female,Medium,2,Sales Executive,High,Married,5902,0,17,1,Best,15,38-42
0,Travel_Rarely,Sales,28,Bachelor,Life Sciences,Male,Medium,2,Sales Executive,High,Married,8639,0,6,3,Better,2,23-27
0,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,Male,High,2,Human Resources,Very High,Married,6347,1,12,2,Bad,11,28-32
1,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,High,1,Laboratory Technician,Low,Single,4200,0,10,2,Best,5,28-32
0,Travel_Rarely,Research & Development,29,Bachelor,Medical,Male,High,1,Research Scientist,Very High,Single,3452,0,9,2,Good,6,43-47
0,Travel_Rarely,Research & Development,3,Doctor,Technical Degree,Female,High,2,Research Scientist,High,Single,4317,1,19,2,Better,3,33-37
0,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,Female,High,1,Research Scientist,High,Single,2632,0,5,4,Good,5,28-32
0,Travel_Frequently,Sales,9,College,Medical,Male,Low,2,Sales Executive,Very High,Divorced,4668,0,9,2,Best,8,28-32
0,Travel_Rarely,Research & Development,5,Bachelor,Technical Degree,Female,High,1,Research Scientist,Low,Divorced,3204,0,8,3,Better,3,28-32
0,Travel_Rarely,Research & Development,2,Below College,Medical,Male,Medium,1,Laboratory Technician,Very High,Single,2720,0,6,3,Better,5,28-32
0,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,Male,Medium,4,Manager,Low,Divorced,17181,0,21,2,Good,7,38-42
0,Travel_Rarely,Research & Development,9,Master,Life Sciences,Male,High,1,Laboratory Technician,Low,Married,2238,0,7,2,Better,5,38-42
0,Travel_Rarely,Research & Development,3,Below College,Medical,Female,High,1,Laboratory Technician,Medium,Single,1483,0,1,3,Better,1,18-22
0,Travel_Frequently,Research & Development,26,Bachelor,Medical,Female,High,2,Research Scientist,Medium,Divorced,5605,0,20,2,Better,20,38-42
0,Travel_Rarely,Sales,1,Doctor,Marketing,Male,High,3,Sales Executive,Medium,Married,7295,0,10,3,Better,10,33-37
0,Travel_Rarely,Sales,6,College,Marketing,Male,High,2,Sales Representative,High,Married,2306,1,13,3,Bad,7,48-52
0,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,Male,High,2,Laboratory Technician,Medium,Divorced,2348,0,20,2,Bad,17,43-47
0,Travel_Frequently,Sales,8,Bachelor,Marketing,Female,High,3,Sales Executive,Very High,Single,8998,0,9,2,Better,9,28-32
0,Non-Travel,Research & Development,1,Below College,Technical Degree,Male,High,2,Manufacturing Director,High,Married,4319,0,10,1,Better,10,28-32
0,Travel_Rarely,Research & Development,7,Master,Medical,Male,Medium,2,Manufacturing Director,High,Married,6132,0,10,2,Better,1,48-52
0,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,Medium,1,Research Scientist,Medium,Married,3346,1,9,3,Good,1,53-57
0,Travel_Rarely,Sales,4,Master,Marketing,Male,Medium,3,Sales Executive,Very High,Married,10855,0,15,2,Good,12,38-42
0,Travel_Frequently,Sales,2,Master,Marketing,Female,High,1,Sales Representative,High,Married,2231,0,6,3,Better,4,33-37
0,Travel_Rarely,Research & Development,19,Below College,Medical,Male,High,1,Research Scientist,Very High,Married,2323,0,2,6,Better,2,18-22
0,Non-Travel,Research & Development,9,Bachelor,Medical,Male,High,1,Research Scientist,Medium,Divorced,2024,0,6,1,Bad,2,23-27
0,Travel_Rarely,Research & Development,21,Bachelor,Medical,Male,High,1,Research Scientist,Very High,Married,2713,0,5,2,Bad,5,23-27
0,Travel_Rarely,Research & Development,24,College,Life Sciences,Male,Very High,3,Healthcare Representative,Very High,Divorced,9439,1,12,2,Bad,5,53-57
0,Non-Travel,Research & Development,3,Bachelor,Medical,Male,Medium,1,Research Scientist,High,Divorced,2566,1,1,2,Good,1,23-27
0,Travel_Rarely,Research & Development,11,Bachelor,Life Sciences,Female,High,5,Manager,Medium,Single,19926,0,21,5,Better,5,48-52
0,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,Male,High,1,Research Scientist,High,Divorced,2451,0,13,2,Better,9,38-42
0,Travel_Rarely,Sales,5,Bachelor,Life Sciences,Female,High,3,Sales Executive,Very High,Married,9419,0,12,2,Better,10,28-32
0,Travel_Rarely,Sales,1,Master,Life Sciences,Female,Medium,2,Sales Executive,Very High,Single,8686,0,12,2,Best,8,33-37
0,Travel_Rarely,Research & Development,6,Doctor,Life Sciences,Male,High,1,Research Scientist,High,Single,3038,0,8,2,Better,5,28-32
0,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,Male,High,1,Research Scientist,Medium,Married,3058,1,6,3,Good,5,23-27
1,Travel_Frequently,Sales,1,Below College,Technical Degree,Female,Low,1,Sales Representative,Low,Single,2325,0,1,5,Best,0,18-22
0,Travel_Frequently,Research & Development,3,College,Medical,Male,High,1,Laboratory Technician,Medium,Single,2088,0,13,3,Good,8,33-37
0,Non-Travel,Research & Development,9,Bachelor,Medical,Male,High,2,Laboratory Technician,Low,Divorced,3072,0,12,4,Better,12,28-32
0,Travel_Rarely,Sales,4,College,Life Sciences,Female,High,2,Sales Executive,Low,Divorced,5006,1,9,3,Best,5,43-47
0,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,High,1,Research Scientist,Low,Divorced,4257,1,19,3,Better,2,53-57
0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,High,1,Research Scientist,Very High,Single,2500,0,4,2,Best,3,28-32
1,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,Medium,1,Laboratory Technician,Very High,Single,1102,0,1,3,Good,1,18-22
0,Travel_Rarely,Sales,1,College,Marketing,Female,High,3,Sales Executive,Low,Divorced,10453,0,24,2,Better,24,43-47
0,Travel_Rarely,Research & Development,9,College,Life Sciences,Female,High,1,Laboratory Technician,Very High,Single,2288,0,2,3,Better,2,33-37
0,Travel_Rarely,Research & Development,12,Below College,Medical,Female,High,1,Research Scientist,Very High,Married,3929,1,7,0,Better,4,28-32
0,Travel_Rarely,Research & Development,27,College,Medical,Female,High,1,Research Scientist,Medium,Single,2311,0,9,3,Better,3,33-37
1,Travel_Rarely,Sales,20,College,Marketing,Female,High,1,Sales Representative,Medium,Single,3140,1,4,5,Good,4,38-42
0,Travel_Rarely,Research & Development,1,Bachelor,Medical,Male,Medium,1,Laboratory Technician,High,Married,3690,0,5,2,Good,3,48-52
0,Travel_Rarely,Research & Development,13,College,Medical,Female,Very High,2,Manufacturing Director,Low,Divorced,4450,0,5,3,Better,4,48-52
0,Travel_Rarely,Research & Development,14,Bachelor,Medical,Female,High,1,Research Scientist,Medium,Married,2756,0,8,5,Better,8,28-32
0,Travel_Rarely,Research & Development,4,Below College,Medical,Female,High,5,Manager,High,Married,19033,0,21,2,Better,20,38-42
0,Travel_Rarely,Research & Development,14,Master,Medical,Male,Very High,5,Research Director,Medium,Single,18722,0,36,3,Better,24,53-57
0,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Male,Medium,2,Manufacturing Director,High,Married,9547,0,10,2,Good,10,33-37
0,Travel_Rarely,Research & Development,3,Bachelor,Medical,Female,High,4,Healthcare Representative,Medium,Single,13734,0,21,6,Better,7,48-52
0,Travel_Rarely,Research & Development,1,Master,Life Sciences,Male,Medium,5,Manager,High,Married,19999,0,34,5,Better,33,48-52
0,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,High,1,Research Scientist,Medium,Single,2279,0,7,2,Good,7,23-27
1,Travel_Rarely,Research & Development,23,College,Life Sciences,Male,Medium,2,Manufacturing Director,High,Married,5916,1,8,1,Better,1,33-37
0,Non-Travel,Research & Development,7,Bachelor,Medical,Male,Very High,1,Research Scientist,Very High,Divorced,2089,0,7,3,Best,5,38-42
0,Non-Travel,Research & Development,2,College,Medical,Male,Medium,4,Manager,Very High,Married,16792,0,22,1,Better,20,43-47
0,Travel_Rarely,Research & Development,21,Bachelor,Life Sciences,Male,Very High,1,Research Scientist,Low,Married,3564,1,8,3,Good,8,33-37
0,Travel_Frequently,Research & Development,2,Bachelor,Medical,Female,High,2,Laboratory Technician,Medium,Single,4425,0,10,5,Better,6,33-37
0,Non-Travel,Research & Development,21,College,Medical,Female,High,2,Manufacturing Director,High,Divorced,5265,0,11,5,Better,5,38-42
0,Travel_Rarely,Research & Development,2,Master,Life Sciences,Male,High,2,Manufacturing Director,High,Married,6553,0,14,3,Better,1,33-37
0,Travel_Rarely,Research & Development,29,Bachelor,Technical Degree,Male,High,2,Manufacturing Director,Very High,Married,6261,0,9,3,Bad,7,33-37
0,Travel_Frequently,Research & Development,1,Below College,Technical Degree,Male,Medium,2,Manufacturing Director,Low,Married,4298,0,6,1,Better,2,23-27
0,Non-Travel,Research & Development,18,Master,Life Sciences,Male,High,2,Manufacturing Director,Very High,Divorced,6804,1,7,0,Better,7,48-52
